lifted_target,nl,block,participant,target_name
0,297,2,participant_1,stick
0,144,3,participant_1,stick
0,235,4,participant_1,stick
0,110,4,participant_1,stick
1,-175,1,participant_1,ball
1,-97,1,participant_1,ball
1,-203,1,participant_1,ball
1,-93,1,participant_1,ball
1,-160,2,participant_1,ball
1,-189,2,participant_1,ball
1,-141,2,participant_1,ball
1,-221,2,participant_1,ball
1,-313,3,participant_1,ball
1,-191,3,participant_1,ball
1,-155,3,participant_1,ball
1,-237,3,participant_1,ball
1,-155,4,participant_1,ball
1,-173,4,participant_1,ball
1,-282,4,participant_1,ball
1,-125,4,participant_1,ball
2,-575,1,participant_1,screw
2,-425,2,participant_1,screw
2,-315,2,participant_1,screw
2,-379,3,participant_1,screw
2,-566,3,participant_1,screw
2,-444,3,participant_1,screw
2,-427,3,participant_1,screw
2,-476,4,participant_1,screw
2,-394,4,participant_1,screw
2,-314,4,participant_1,screw
2,-457,4,participant_1,screw
3,-347,1,participant_1,box
3,-223,1,participant_1,box
3,-271,1,participant_1,box
3,-143,1,participant_1,box
3,-376,2,participant_1,box
3,-190,2,participant_1,box
3,-284,2,participant_1,box
3,-377,2,participant_1,box
3,1143,3,participant_1,box
3,994,3,participant_1,box
3,-330,4,participant_1,box
3,-330,4,participant_1,box
3,-283,4,participant_1,box
3,-411,4,participant_1,box
4,-380,1,participant_1,knife
4,-379,1,participant_1,knife
4,-539,1,participant_1,knife
4,-330,1,participant_1,knife
4,-408,2,participant_1,knife
4,-588,2,participant_1,knife
4,-530,2,participant_1,knife
4,-363,2,participant_1,knife
4,-187,3,participant_1,knife
4,-208,3,participant_1,knife
4,-255,3,participant_1,knife
4,-426,4,participant_1,knife
4,-282,4,participant_1,knife
4,-408,4,participant_1,knife
4,-391,4,participant_1,knife
5,-375,1,participant_1,glass
5,-331,1,participant_1,glass
5,-408,1,participant_1,glass
5,-395,1,participant_1,glass
5,-414,2,participant_1,glass
5,-536,2,participant_1,glass
5,-543,2,participant_1,glass
5,-379,2,participant_1,glass
5,-813,3,participant_1,glass
5,-458,3,participant_1,glass
5,-509,3,participant_1,glass
5,-571,3,participant_1,glass
5,-378,4,participant_1,glass
5,-602,4,participant_1,glass
5,-316,4,participant_1,glass
5,-330,4,participant_1,glass
6,-142,2,participant_1,assembly
7,-299,1,participant_1,disk
7,-112,1,participant_1,disk
7,-144,1,participant_1,disk
7,-189,1,participant_1,disk
7,-395,2,participant_1,disk
7,-125,2,participant_1,disk
7,-297,2,participant_1,disk
7,-311,2,participant_1,disk
7,-313,3,participant_1,disk
7,-424,3,participant_1,disk
7,-313,3,participant_1,disk
7,-299,3,participant_1,disk
7,-222,4,participant_1,disk
7,-93,4,participant_1,disk
7,-112,4,participant_1,disk
7,-93,4,participant_1,disk
0,-173,1,participant_2,stick
0,-93,1,participant_2,stick
0,-33,1,participant_2,stick
0,30,1,participant_2,stick
0,-158,2,participant_2,stick
0,-111,2,participant_2,stick
0,17,2,participant_2,stick
0,-92,2,participant_2,stick
0,-15,3,participant_2,stick
0,-49,3,participant_2,stick
0,-77,3,participant_2,stick
0,-48,3,participant_2,stick
0,-15,4,participant_2,stick
0,48,4,participant_2,stick
0,-95,4,participant_2,stick
1,-284,1,participant_2,ball
1,-266,1,participant_2,ball
1,-350,1,participant_2,ball
1,-127,1,participant_2,ball
1,-254,2,participant_2,ball
1,-297,2,participant_2,ball
1,-95,2,participant_2,ball
1,-249,2,participant_2,ball
1,330,3,participant_2,ball
1,-187,3,participant_2,ball
1,-62,3,participant_2,ball
1,-126,3,participant_2,ball
1,-264,4,participant_2,ball
1,-251,4,participant_2,ball
1,-349,4,participant_2,ball
1,16,4,participant_2,ball
2,-79,1,participant_2,screw
2,-107,1,participant_2,screw
2,-16,1,participant_2,screw
2,-47,2,participant_2,screw
2,0,2,participant_2,screw
2,-248,2,participant_2,screw
2,-764,2,participant_2,screw
2,-96,3,participant_2,screw
2,-48,3,participant_2,screw
2,364,3,participant_2,screw
2,554,4,participant_2,screw
2,-222,4,participant_2,screw
2,-126,4,participant_2,screw
2,-204,4,participant_2,screw
3,-545,1,participant_2,box
3,-235,1,participant_2,box
3,348,1,participant_2,box
3,-295,1,participant_2,box
3,-376,2,participant_2,box
3,-187,2,participant_2,box
3,-1059,2,participant_2,box
3,-254,3,participant_2,box
3,-126,3,participant_2,box
3,-302,3,participant_2,box
3,-188,3,participant_2,box
3,-63,4,participant_2,box
3,-112,4,participant_2,box
3,-139,4,participant_2,box
3,-476,4,participant_2,box
4,-405,1,participant_2,knife
4,-392,1,participant_2,knife
4,-356,1,participant_2,knife
4,-923,1,participant_2,knife
4,-600,2,participant_2,knife
4,-660,2,participant_2,knife
4,-727,2,participant_2,knife
4,-523,2,participant_2,knife
4,-445,3,participant_2,knife
4,-393,3,participant_2,knife
4,-484,3,participant_2,knife
4,-422,4,participant_2,knife
4,-296,4,participant_2,knife
4,-407,4,participant_2,knife
4,-434,4,participant_2,knife
5,-406,1,participant_2,glass
5,-399,1,participant_2,glass
5,-403,1,participant_2,glass
5,-313,1,participant_2,glass
5,-313,2,participant_2,glass
5,-471,2,participant_2,glass
5,-409,2,participant_2,glass
5,-594,2,participant_2,glass
5,-660,3,participant_2,glass
5,-473,3,participant_2,glass
5,-674,3,participant_2,glass
5,-388,4,participant_2,glass
5,-456,4,participant_2,glass
5,-363,4,participant_2,glass
5,-451,4,participant_2,glass
6,61,2,participant_2,assembly
6,-748,2,participant_2,assembly
6,-535,2,participant_2,assembly
6,-702,2,participant_2,assembly
6,202,3,participant_2,assembly
6,-937,4,participant_2,assembly
6,-942,4,participant_2,assembly
7,-592,1,participant_2,disk
7,-1343,1,participant_2,disk
7,-704,1,participant_2,disk
7,-410,1,participant_2,disk
7,-860,2,participant_2,disk
7,-856,2,participant_2,disk
7,-475,2,participant_2,disk
7,-1092,2,participant_2,disk
7,-750,3,participant_2,disk
7,-93,3,participant_2,disk
7,3230,3,participant_2,disk
7,-507,3,participant_2,disk
7,-549,4,participant_2,disk
7,-730,4,participant_2,disk
7,-800,4,participant_2,disk
7,-638,4,participant_2,disk
0,-158,1,participant_3,stick
0,-96,1,participant_3,stick
0,-16,1,participant_3,stick
0,79,1,participant_3,stick
0,-95,2,participant_3,stick
0,0,2,participant_3,stick
0,92,2,participant_3,stick
0,-62,2,participant_3,stick
0,46,3,participant_3,stick
0,64,3,participant_3,stick
0,31,3,participant_3,stick
0,-96,3,participant_3,stick
0,48,4,participant_3,stick
0,266,4,participant_3,stick
0,78,4,participant_3,stick
0,64,4,participant_3,stick
1,-282,1,participant_3,ball
1,-298,1,participant_3,ball
1,-331,1,participant_3,ball
1,-456,1,participant_3,ball
1,-283,2,participant_3,ball
1,-536,2,participant_3,ball
1,141,2,participant_3,ball
1,-223,2,participant_3,ball
1,-301,3,participant_3,ball
